Alternatives,Objective,Hypothesis,Score
Alt F80,DeltaSmelt,H1,0.898
Alt F74,DeltaSmelt,H1,0.916
Alt S74,DeltaSmelt,H1,0.922
Alt S74F80,DeltaSmelt,H1,0.957
Alt NoX2,DeltaSmelt,H1,0.871
Alt F80,DeltaSmelt,H2,0.863
Alt F74,DeltaSmelt,H2,0.892
Alt S74,DeltaSmelt,H2,0.916
Alt S74F80,DeltaSmelt,H2,0.912
Alt NoX2,DeltaSmelt,H2,0.864
Alt F80,DeltaSmelt,H3,0.941
Alt F74,DeltaSmelt,H3,0.929
Alt S74,DeltaSmelt,H3,0.922
Alt S74F80,DeltaSmelt,H3,0.943
Alt NoX2,DeltaSmelt,H3,0.921
Alt F80,DeltaSmelt,H4,0.912
Alt F74,DeltaSmelt,H4,0.91
Alt S74,DeltaSmelt,H4,0.915
Alt S74F80,DeltaSmelt,H4,0.916
Alt NoX2,DeltaSmelt,H4,0.916
Alt F80,WaterCost,H1,728
Alt F74,WaterCost,H1,1279
Alt S74,WaterCost,H1,859
Alt S74F80,WaterCost,H1,1382
Alt NoX2,WaterCost,H1,0
Alt F80,WaterCost,H2,728
Alt F74,WaterCost,H2,1279
Alt S74,WaterCost,H2,859
Alt S74F80,WaterCost,H2,1382
Alt NoX2,WaterCost,H2,0
Alt F80,WaterCost,H3,728
Alt F74,WaterCost,H3,1279
Alt S74,WaterCost,H3,859
Alt S74F80,WaterCost,H3,1382
Alt NoX2,WaterCost,H3,0
Alt F80,WaterCost,H4,728
Alt F74,WaterCost,H4,1279
Alt S74,WaterCost,H4,859
Alt S74F80,WaterCost,H4,1382
Alt NoX2,WaterCost,H4,0
